time,lat,lon
2022-08-24T20:57:35Z,42.26193066666667,-70.89245666666666
2022-08-24T20:57:36Z,42.26192883333333,-70.89245783333334
2022-08-24T20:57:37Z,42.26192983333333,-70.892454
2022-08-24T20:57:38Z,42.2619315,-70.89245116666666
2022-08-24T20:57:39Z,42.261930833333324,-70.89244816666667
2022-08-24T20:57:40Z,42.26192900000001,-70.89244733333334
2022-08-24T20:57:41Z,42.26193116666667,-70.89244683333334
2022-08-24T20:57:42Z,42.26193500000001,-70.89244566666665
2022-08-24T20:57:43Z,42.261934333333336,-70.89244383333333
2022-08-24T20:57:44Z,42.26193500000001,-70.89244499999998
2022-08-24T20:57:45Z,42.26193416666667,-70.89244499999998
2022-08-24T20:57:46Z,42.26193366666667,-70.892446
2022-08-24T20:57:47Z,42.26193283333333,-70.89244716666667
2022-08-24T20:57:48Z,42.26193116666667,-70.89244783333334
2022-08-24T20:57:49Z,42.26192916666666,-70.89244666666667
2022-08-24T20:57:50Z,42.26192983333333,-70.89244633333335
2022-08-24T20:57:51Z,42.2619285,-70.89244533333333
2022-08-24T20:57:52Z,42.26192900000001,-70.8924435
2022-08-24T20:57:53Z,42.26193,-70.89244283333332
2022-08-24T20:57:54Z,42.261929333333335,-70.892444
2022-08-24T20:57:55Z,42.261931,-70.89244366666667
2022-08-24T20:57:56Z,42.261931,-70.89244516666666
2022-08-24T20:57:57Z,42.26193116666667,-70.89244166666666
2022-08-24T20:57:58Z,42.26193116666667,-70.89244066666667
2022-08-24T20:57:59Z,42.26193066666667,-70.89244
2022-08-24T20:58:00Z,42.261928,-70.89244183333334
2022-08-24T20:58:01Z,42.26192533333333,-70.89244366666667
2022-08-24T20:58:02Z,42.26192516666668,-70.89244499999998
2022-08-24T20:58:03Z,42.26192499999999,-70.89244216666667
2022-08-24T20:58:04Z,42.26192366666666,-70.8924435
2022-08-24T20:58:05Z,42.26192283333334,-70.89244683333334
2022-08-24T20:58:06Z,42.26192366666666,-70.89244633333335
2022-08-24T20:58:07Z,42.26192399999999,-70.89244633333335
2022-08-24T20:58:08Z,42.26192183333334,-70.89244816666667
2022-08-24T20:58:09Z,42.261922166666665,-70.89244499999998
2022-08-24T20:58:10Z,42.26192366666666,-70.892441
2022-08-24T20:58:11Z,42.26192433333333,-70.89243983333334
2022-08-24T20:58:12Z,42.261923,-70.8924375
2022-08-24T20:58:13Z,42.261923833333334,-70.89243899999998
2022-08-24T20:58:14Z,42.26192416666666,-70.89244066666667
2022-08-24T20:58:15Z,42.261924833333325,-70.89244083333334
2022-08-24T20:58:16Z,42.26192650000001,-70.89244
2022-08-24T20:58:17Z,42.26192716666666,-70.89244116666667
2022-08-24T20:58:18Z,42.261924833333325,-70.8924445
2022-08-24T20:58:19Z,42.261926166666676,-70.89244583333335
